Environment,Model,Run,Backend,PP,Buffer.Size,N,Mean,SD,CV,P99,Max,Miss,N_Steady,Mean_Steady,SD_Steady,CV_Steady,P99_Steady,Max_Steady,Miss_Steady
Firefox,guitar-lstm,onnxrt-web-jspp,js-onnx,js,8192,500,0.0057513818359375,0.0001248612226922571,0.021709777972323444,0.0059280517578125,0.00828369140625,0.0,490,0.005745720065369898,5.228581926219736e-05,0.00909995939017807,0.00590166015625,0.00631591796875,0.0
Firefox,steerable-nafx,bypass,wasm-bypass,wasm,128,500,0.0008834375,0.00017958052873669992,0.20327474069948345,0.0017203124999999985,0.0028125,0.0,490,0.0008644770408163266,9.319920398881985e-05,0.10780992390591629,0.0009375,0.0015625,0.0
Firefox,steerable-nafx,bypass,wasm-bypass,wasm,1024,500,0.00011187500000000001,2.3574872962710018e-05,0.2107251214543912,0.000234375,0.0003515625,0.0,490,0.00010925542091836735,1.2682375177541159e-05,0.11608005416058102,0.0001171875,0.000234375,0.0
Firefox,steerable-nafx,bypass,wasm-bypass,wasm,8192,500,2.4960937500000003e-05,3.495496856792833e-06,0.14003868471658296,3.908691406249998e-05,5.859375e-05,0.0,490,2.464823820153061e-05,2.513949700700188e-06,0.10199307878094412,3.41796875e-05,4.638671875e-05,0.0
Firefox,steerable-nafx,bypass-jspp,wasm-bypass,js,128,500,0.0008884375,0.00015853508196350848,0.17844258258291493,0.00171875,0.00265625,0.0,490,0.0008698979591836735,7.813380287203336e-05,0.08981950359483014,0.0009375,0.00109375,0.0
Firefox,steerable-nafx,bypass-jspp,wasm-bypass,js,1024,500,0.0001118359375,2.086469981217014e-05,0.18656525155136416,0.00019550781249999983,0.00033203125,0.0,490,0.00010949457908163265,1.0261549580531571e-05,0.09371742114174593,0.00013671875,0.00013671875,0.0
Firefox,steerable-nafx,bypass-jspp,wasm-bypass,js,8192,500,2.5966796875e-05,2.733952107068728e-06,0.1052864594824512,4.150390625e-05,5.126953125e-05,0.0,490,2.5644730548469386e-05,1.2611806373929573e-06,0.04917893892506627,2.685546875e-05,2.9296875e-05,0.0
Firefox,steerable-nafx,js-bypass,js-bypass,wasm,128,500,0.00088875,0.00014526921142339537,0.1634534024454519,0.00171875,0.0021875,0.0,490,0.0008721301020408164,7.90729471329621e-05,0.09066645784605817,0.0009375,0.00109375,0.0
Firefox,steerable-nafx,js-bypass,js-bypass,wasm,1024,500,0.0001127734375,2.3156975746401073e-05,0.20534069245163403,0.000234375,0.0003125,0.0,490,0.00011001275510204082,1.1306686276499785e-05,0.10277613960319805,0.00013671875,0.00015625,0.0
Firefox,steerable-nafx,js-bypass,js-bypass,wasm,8192,500,2.8154296874999998e-05,2.817301655260832e-06,0.10006648959372501,3.908691406249998e-05,5.615234375e-05,0.0,490,2.7866908482142857e-05,1.692104306838899e-06,0.06072091950648925,3.173828125e-05,3.90625e-05,0.0
Firefox,steerable-nafx,js-bypass-jspp,js-bypass,js,128,500,0.0008946875,0.0001597280119275848,0.1785293881132628,0.0015656249999999971,0.0025,0.0,490,0.0008769132653061224,8.250034936748865e-05,0.09408039840597979,0.00109375,0.00109375,0.0
Firefox,steerable-nafx,js-bypass-jspp,js-bypass,js,1024,500,0.00011515625,2.4049754012356546e-05,0.20884453959169863,0.0002345703124999998,0.000390625,0.0,490,0.00011244419642857143,1.2431337210886833e-05,0.11055561430227893,0.00013671875,0.00015625,0.0
Firefox,steerable-nafx,js-bypass-jspp,js-bypass,js,8192,500,2.65234375e-05,3.0460075067499745e-06,0.11484210923829065,4.39453125e-05,5.126953125e-05,0.0,490,2.6207748724489795e-05,1.9170640795658884e-06,0.07314875076524564,3.173828125e-05,3.90625e-05,0.0
Firefox,steerable-nafx,onnx,wasm-onnx,wasm,128,500,0.13638468750000002,0.002355249822773392,0.017269166106153904,0.142815625,0.17609375,1.0,490,0.13629464285714285,0.0015558074975975578,0.011415030444213985,0.14114375,0.156875,1.0
Firefox,steerable-nafx,onnx,wasm-onnx,wasm,1024,500,0.0183948046875,0.00029994754217952356,0.016306100949435458,0.018926367187499998,0.02328125,0.002,490,0.01838412786989796,0.000206748336163707,0.01124602361487244,0.0189083984375,0.02109375,0.0
Firefox,steerable-nafx,onnx,wasm-onnx,wasm,8192,500,0.0036590576171875,4.7555079941382217e-05,0.012996537610668994,0.00375244140625,0.00443115234375,0.0,490,0.0036573959661989797,3.2915573499976145e-05,0.008999729262069564,0.0037502685546875,0.00398193359375,0.0
Firefox,steerable-nafx,onnx-jspp,wasm-onnx,js,128,500,0.1363671875,0.002145492806848166,0.01573320419802723,0.1403125,0.17171875,1.0,490,0.13627997448979592,0.0014545048048611791,0.010672916621143676,0.14017343750000003,0.154375,1.0
Firefox,steerable-nafx,onnx-jspp,wasm-onnx,js,1024,500,0.0184436328125,0.00029989911347104827,0.01626030601020177,0.019102539062499996,0.023203125,0.002,490,0.018432876275510202,0.00021266046997607576,0.011537020419250307,0.019066796875,0.02111328125,0.0
Firefox,steerable-nafx,onnx-jspp,wasm-onnx,js,8192,500,0.0036565136718749998,4.60417137652749e-05,0.012591697419160879,0.0037353515625,0.0044189453125,0.0,490,0.003654934630102041,3.112422918206825e-05,0.008515673283382172,0.00372666015625,0.003974609375,0.0
Firefox,steerable-nafx,onnxrt-web,js-onnx,wasm,128,500,0.13657312500000002,0.006745395502607553,0.04939035774869728,0.1465625,0.2753125,1.0,490,0.13624585459183675,0.0025753775670049337,0.018902428809450464,0.14586718750000002,0.15828125,1.0
Firefox,steerable-nafx,onnxrt-web,js-onnx,wasm,1024,500,0.0182281640625,0.0008293292717986655,0.045497136681187114,0.0187306640625,0.03640625,0.002,490,0.018187141262755103,0.00014640602852722097,0.008049974782295305,0.0186154296875,0.01966796875,0.0
