"Backend","PP","Buffer.Size","Environment","Model.Unique","response","SE","df","lower.CL","upper.CL"
"wasm-bypass","wasm","8192","Chrome","steerable-nafx",3.72655683312526e-05,3.69530845096606e-07,1295.99999999949,3.65476299851479e-05,3.79976097934558e-05
"js-bypass","wasm","8192","Chrome","steerable-nafx",3.95487991144602e-05,3.92171696656085e-07,1296.00000000011,3.87868732751903e-05,4.03256921561758e-05
"js-onnx","wasm","8192","Chrome","steerable-nafx",0.00724162679920978,7.18090342054888e-05,1296.00000000011,0.00710211352193686,0.00738388066271459
"wasm-onnx","wasm","8192","Chrome","steerable-nafx",0.00724518853823411,7.18443529324159e-05,1296.00000000011,0.00710560664241761,0.00738751236821897
"wasm-bypass","js","8192","Chrome","steerable-nafx",3.75508536978542e-05,3.72359776663545e-07,1296.00000000011,3.68274191977008e-05,3.82884992800604e-05
"js-bypass","js","8192","Chrome","steerable-nafx",3.94344290965749e-05,3.91037586772477e-07,1296.00000000011,3.8674706648402e-05,4.02090754639776e-05
"js-onnx","js","8192","Chrome","steerable-nafx",0.00723599969749324,7.17532350389697e-05,1296.00000000011,0.00709659482892789,0.0073781430227196
"wasm-onnx","js","8192","Chrome","steerable-nafx",0.00725193103653594,7.19112125351838e-05,1296.00000000011,0.00711221924338267,0.00739438731554914
"wasm-bypass","wasm","128","Firefox","steerable-nafx",0.000871716814189065,8.64407187269671e-06,1295.999999999,0.000854922788071241,0.000888840740640792
"js-bypass","wasm","128","Firefox","steerable-nafx",0.00088005412609058,8.72674588119007e-06,1296.00000000011,0.000863099477817093,0.000897341829945105
"js-onnx","wasm","128","Firefox","steerable-nafx",0.136462667308393,0.00135318383786222,1296.00000000011,0.133833651139861,0.13914332763335
"wasm-onnx","wasm","128","Firefox","steerable-nafx",0.136366639435866,0.00135223161138409,1296.00000000011,0.133739473288549,0.139045413397959
"wasm-bypass","js","128","Firefox","steerable-nafx",0.000878800912997148,8.71431883621998e-06,1295.99999999998,0.000861870408451394,0.000896063998846731
"js-bypass","js","128","Firefox","steerable-nafx",0.000884922037929676,8.77501680945738e-06,1296.00000000011,0.000867873607091445,0.000902305366605186
"js-onnx","js","128","Firefox","steerable-nafx",0.136044284742209,0.00134903509492931,1296.00000000011,0.133423328906608,0.138716726397783
"wasm-onnx","js","128","Firefox","steerable-nafx",0.136351931139797,0.00135208576176152,1295.99999999998,0.133725048354581,0.139030416173449
"wasm-bypass","wasm","1024","Firefox","steerable-nafx",0.000110296302990466,1.09371432880876e-06,1296.00000000023,0.000108171393888141,0.000112462953615489
"js-bypass","wasm","1024","Firefox","steerable-nafx",0.000111214520747915,1.10281951085986e-06,1296.00000000011,0.000109071921757372,0.000113399208759724
"js-onnx","wasm","1024","Firefox","steerable-nafx",0.0182163393162619,0.000180635894299744,1296.00000000011,0.017865393145133,0.0185741794423142
"wasm-onnx","wasm","1024","Firefox","steerable-nafx",0.0183926011675163,0.000182383732687,1296.00000000011,0.0180382592306004,0.0187539037654723
"wasm-bypass","js","1024","Firefox","steerable-nafx",0.000110550943051297,1.09623937702588e-06,1296.00000000011,0.00010842112819086,0.000112722595802702
"js-bypass","js","1024","Firefox","steerable-nafx",0.000113512007685906,1.12560172854262e-06,1296.00000000011,0.000111325146550806,0.000115741827323846
"js-onnx","js","1024","Firefox","steerable-nafx",0.0182156187130214,0.000180628748692246,1295.99999999998,0.0178646864246459,0.0185734446836086
"wasm-onnx","js","1024","Firefox","steerable-nafx",0.0184414238417725,0.000182867865490703,1295.99999999998,0.0180861413135392,0.0188036855079368
"wasm-bypass","wasm","8192","Firefox","steerable-nafx",2.47697484228935e-05,2.45620460854872e-07,1296.00000000023,2.42925478054741e-05,2.52563231261885e-05
"js-bypass","wasm","8192","Firefox","steerable-nafx",2.80409298778791e-05,2.78057976278765e-07,1296.00000000011,2.75007084423489e-05,2.85917633745502e-05
"js-onnx","wasm","8192","Firefox","steerable-nafx",0.00352648814641867,3.49691740478899e-05,1296.00000000011,0.00345854872725049,0.0035957621614075
"wasm-onnx","wasm","8192","Firefox","steerable-nafx",0.00365877118532029,3.62809120770202e-05,1295.99999999998,0.00358828327245083,0.00373064375639073
"wasm-bypass","js","8192","Firefox","steerable-nafx",2.58586929879732e-05,2.56418594988245e-07,1296.00000000011,2.53605133517152e-05,2.63666588200602e-05
"js-bypass","js","8192","Firefox","steerable-nafx",2.63833501057126e-05,2.61621171972466e-07,1296.00000000023,2.58750627083161e-05,2.69016222548859e-05
"js-onnx","js","8192","Firefox","steerable-nafx",0.00352809064702624,3.49850646791159e-05,1296.00000000011,0.00346012035494542,0.00359739614139242
"wasm-onnx","js","8192","Firefox","steerable-nafx",0.00365624560246721,3.62558680267651e-05,1296.00000000023,0.00358580634611523,0.00372806856121595
"wasm-bypass","wasm","128","Safari","steerable-nafx",0.000904507640270626,8.96923051688075e-06,1295.999999999,0.000887081883778126,0.000922275706751514
"js-bypass","wasm","128","Safari","steerable-nafx",0.00090400058830847,8.96420251520117e-06,1296.00000000011,0.000886584600405678,0.000921758694306355
"js-onnx","wasm","128","Safari","steerable-nafx",0.135126064227911,0.00133992988554091,1296.00000000011,0.132522798333639,0.137780468442544
"wasm-onnx","wasm","128","Safari","steerable-nafx",0.13555567351435,0.00134418995427963,1296.00000000011,0.132944130999208,0.138218516935046
"wasm-bypass","js","128","Safari","steerable-nafx",0.000897780095167934,8.9025191922288e-06,1295.99999999986,0.000880483947931935,0.00091541600635978
"js-bypass","js","128","Safari","steerable-nafx",0.000937985441359648,9.30120130606507e-06,1296.00000000011,0.000919914719602396,0.000956411142744761
