"PP","Backend","Environment","Model.Unique","response","SE","df","lower.CL","upper.CL"
"js","js-onnx","Firefox","steerable-nafx",0.0208527416546327,0.000261407667937357,1295.99999999986,0.0203461676879972,0.0213719281774806
"wasm","wasm-onnx","Firefox","steerable-nafx",0.0210115227299592,0.000263398129973531,1295.99999999998,0.0205010915075015,0.0215346625456526
"js","wasm-onnx","Firefox","steerable-nafx",0.0210167776615014,0.000263464005215376,1295.99999999986,0.0205062187814168,0.0215400483132106
"wasm","wasm-bypass","Safari","steerable-nafx",0.000174829959636824,2.19164907862805e-06,1296.00000000011,0.000170582829566027,0.000179182833725845
"js","wasm-bypass","Safari","steerable-nafx",0.000168118612268569,2.10751636872786e-06,1295.99999999998,0.000164034520416636,0.000172304388852549
"wasm","js-bypass","Safari","steerable-nafx",0.00017965951335351,2.25219183099925e-06,1295.99999999998,0.000175295059324844,0.000184132632503952
"js","js-bypass","Safari","steerable-nafx",0.000185930325549579,2.33080204060125e-06,1296.00000000036,0.00018141353518736,0.000190559573866795
"wasm","js-onnx","Safari","steerable-nafx",0.0208565798625013,0.000261455783287588,1295.99999999998,0.0203499126545925,0.0213758619481213
"js","js-onnx","Safari","steerable-nafx",0.0208230791904471,0.000261035822560074,1295.99999999974,0.0203172258116553,0.0213415271844294
"wasm","wasm-onnx","Safari","steerable-nafx",0.021083757631841,0.000264303658731204,1296.00000000011,0.0205715716127537,0.0216086959346666
"js","wasm-onnx","Safari","steerable-nafx",0.0211274584335102,0.000264851487157825,1295.99999999998,0.0206142107943821,0.0216534847883359
